person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
3672,2,165.0,175.0,180.0,180.0,120.0,130.0,-140.0,130.0,210.0,220.0,230.0,130.0,540.0
3673,2,100.0,105.0,110.0,110.0,47.5,52.5,-57.5,52.5,117.5,122.5,125.0,52.5,287.5
3676,2,,,,,145.0,152.5,-157.5,152.5,,,,152.5,152.5
3676,2,75.0,,,75.0,145.0,-155.0,-155.0,145.0,220.0,230.0,-240.0,145.0,450.0
3679,2,,,,,230.0,-245.0,245.0,245.0,,,,245.0,245.0
3681,2,,,,,70.0,75.0,77.5,77.5,,,,77.5,77.5
3681,2,105.0,115.0,120.0,120.0,70.0,75.0,-80.5,75.0,130.0,140.0,145.0,75.0,340.0
3682,2,,,,,70.0,80.0,-82.5,80.0,,,,80.0,80.0
3683,2,,,,,75.0,80.0,82.5,82.5,,,,82.5,82.5
3683,2,120.0,130.0,140.0,140.0,90.0,100.0,105.0,105.0,155.0,160.0,170.0,105.0,415.0
3683,2,-120.0,-120.0,120.0,120.0,75.0,80.0,82.5,82.5,135.0,140.0,-145.0,82.5,342.5
3684,2,,,,,-90.5,90.5,-95.0,90.5,,,,90.5,90.5
3684,2,125.0,132.5,137.5,137.5,65.0,70.0,-75.0,70.0,125.0,135.0,145.0,70.0,352.5
3685,2,,,,,-110.0,-110.0,110.0,110.0,,,,110.0,110.0
3685,2,130.0,140.0,152.5,152.5,65.0,-70.0,72.5,72.5,150.0,162.5,-183.0,72.5,387.5
3687,2,225.0,240.0,250.0,250.0,140.0,150.0,157.5,157.5,210.0,225.0,240.0,157.5,647.5
3688,2,-300.0,-310.0,-310.0,,,,,,,,,,
3689,2,270.0,-300.0,-320.0,270.0,210.0,220.0,-230.0,220.0,275.0,-300.0,-310.0,220.0,765.0
3693,2,295.0,-307.5,-307.5,295.0,182.5,192.5,200.0,200.0,275.0,285.0,290.0,200.0,785.0
3697,2,55.0,62.5,67.5,67.5,35.0,42.5,45.0,45.0,97.5,107.5,115.0,45.0,227.5
3700,2,57.5,67.5,77.5,77.5,40.0,45.0,52.5,52.5,115.0,125.0,130.0,52.5,260.0
3701,2,60.0,65.0,-70.0,65.0,50.0,52.5,-55.0,52.5,100.0,110.0,-115.0,52.5,227.5
3705,2,-100.0,-105.0,105.0,105.0,40.0,45.0,-47.5,45.0,105.0,115.0,125.0,45.0,275.0
3706,2,130.0,140.0,-145.0,140.0,67.5,75.0,-77.5,75.0,140.0,162.5,170.0,75.0,385.0
3707,2,115.0,122.5,127.5,127.5,65.0,72.5,-77.5,72.5,120.0,127.5,135.0,72.5,335.0
3708,2,100.0,110.0,115.0,115.0,65.0,-70.0,72.5,72.5,130.0,140.0,-145.0,72.5,327.5
3709,2,105.0,117.5,125.0,125.0,-60.0,60.0,62.5,62.5,100.0,112.5,-120.0,62.5,300.0
3710,2,95.0,102.5,-107.5,102.5,45.0,50.0,55.0,55.0,117.5,122.5,130.0,55.0,287.5
3712,2,60.0,70.0,-75.0,70.0,50.0,55.0,57.5,57.5,100.0,110.0,120.0,57.5,247.5
3714,2,85.0,-92.5,-92.5,85.0,40.0,45.0,47.5,47.5,100.0,110.0,-112.5,47.5,242.5
3716,2,150.0,160.0,165.0,165.0,62.5,65.0,67.5,67.5,167.5,175.0,180.0,67.5,412.5
